"ID","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
1,"Hyde Park - Walk to UChicago, 10 min to McCormick",2613,"Rebecca","Hyde Park",41.7879,-87.5878,"Private room",60,2,178,"2019-12-15",2.56,1,353
2,"394 Great Reviews. 127 y/o House. 40 yds to train.",5775,"Craig & Kathleen","South Lawndale",41.85495,-87.69696,"Entire home/apt",105,2,395,"2020-07-14",2.81,1,155
3,"Tiny Studio Apartment 94 Walk Score",17928,"Sarah","West Town",41.90289,-87.68182,"Entire home/apt",60,2,384,"2020-03-08",2.81,1,321
4,"Barbara's Hideaway - Old Town",33004,"At Home Inn","Lincoln Park",41.91769,-87.63788,"Entire home/apt",65,4,49,"2019-10-23",0.63,9,300
5,"3 Comforts of Cooperative Living",2140,"Lois","Hyde Park",41.79612,-87.59261,"Private room",21,1,44,"2020-02-14",0.61,5,168
6,"The Biddle House (#1)",33004,"At Home Inn","Lincoln Park",41.91183,-87.64,"Entire home/apt",115,4,19,"2020-08-06",0.24,9,325
7,"Chicago GOLD COAST 1 Bedroom Condo",40731,"Dominic","Near North Side",41.90452,-87.6332,"Entire home/apt",99,5,9,"2019-01-14",0.13,1,316
8,"Lincoln Park Guest House",46734,"Sharon And Robert","Lincoln Park",41.92335,-87.64951,"Private room",289,2,4,"2018-10-17",0.06,1,179
9,"*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **",85811,"Craig","West Town",41.89617,-87.66041,"Entire home/apt",99,91,9,"2014-10-12",0.11,2,365
10,"Private Apt 1 Block to Fullerton L Red Line - Deck",101521,"Red","Lincoln Park",41.92679,-87.65521,"Entire home/apt",112,32,37,"2018-07-29",0.29,4,180
11,"Top 2/1  Block to Fullerton L Red Line Deck & Yard",101521,"Red","Lincoln Park",41.92693,-87.65753,"Entire home/apt",75,32,47,"2020-05-11",0.38,4,62
12,"Sanitized, Huge, Quirky Bucktown Loft + Parking",27506,"Laurie","Logan Square",41.92083,-87.6801,"Entire home/apt",94,2,60,"2020-09-07",0.5,1,332
13,"Andersonville - Perfect location!",162364,"Mat And Randy","Uptown",41.97385,-87.66539,"Private room",77,3,250,"2020-03-15",2.02,2,223
14,"Central guestroom! Walk everywhere!",170758,"Eric","Near North Side",41.89377,-87.63465,"Private room",75,2,500,"2019-09-30",4.13,1,0
15,"2 Bed MCM 1 Block to Fullerton Red line L & Garage",101521,"Red","Lincoln Park",41.92673,-87.65731,"Entire home/apt",95,32,52,"2019-09-01",0.47,4,206
16,"Rest, Relax and Explore",334241,"Michael And Veronica","West Town",41.89615,-87.67934,"Private room",65,3,70,"2020-07-09",0.62,2,178
17,"5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba",272671,"Two For The Road","Uptown",41.96792,-87.65757,"Private room",157,2,151,"2020-07-05",1.3,5,363
18,"The Explorer Room",334241,"Michael And Veronica","West Town",41.89615,-87.67934,"Private room",50,3,78,"2020-08-20",0.68,2,314
19,"Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/",272671,"Two For The Road","Uptown",41.9693,-87.65621,"Private room",99,2,149,"2020-07-19",1.31,5,363
20,"Near Lake, Wrigley and Weiss Hospital",626517,"Gail","Uptown",41.96852,-87.65225,"Private room",35,3,162,"2020-03-08",1.44,1,138
21,"Trendy Roscoe Village 3BR/2BR walk to shops",683529,"Joe","North Center",41.94342,-87.68121,"Entire home/apt",197,2,31,"2020-09-07",0.52,20,361
22,"4BR/2BR Walk to North Ave Beach & Zoo~Close to El",683529,"Joe","Lincoln Park",41.91289,-87.63864,"Entire home/apt",279,2,52,"2020-09-05",0.81,20,355
23,"Two Bedroom, One Bathroom Apartment",791089,"Conrad","Lake View",41.94274,-87.67321,"Entire home/apt",198,3,60,"2019-10-21",0.54,4,364
24,"Cozy Garden Studio",791089,"Conrad","North Center",41.94274,-87.67378,"Entire home/apt",125,3,88,"2019-10-19",0.79,4,365
25,"Three Bedroom, Two Bathroom Combo Apartment",791089,"Conrad","Lake View",41.94221,-87.67327,"Entire home/apt",280,3,22,"2019-06-03",0.2,4,365
26,"1BR/1BA Suite in Chicago (3709-G1)",837429,"Petru","Irving Park",41.96012,-87.72158,"Entire home/apt",79,28,33,"2019-12-16",0.3,2,346
27,"Room w/private bath -kid friendly",886362,"Julie","Portage Park",41.94325,-87.75403,"Private room",85,3,162,"2019-11-28",1.46,1,324
28,"Best in Chicago, private, amazing garden space",899757,"Meighan","Logan Square",41.92918,-87.70219,"Entire home/apt",201,3,506,"2020-09-12",4.61,1,134
29,"Darling Damen Dwelling (with bike if you like)",85708,"Sarah","North Center",41.95935,-87.67963,"Private room",30,3,173,"2020-08-29",1.61,1,89
30,"Historic Pullman Artist Flat - Artists & Explorers",1019125,"Jb","Pullman",41.6883,-87.60892,"Entire home/apt",90,1,269,"2020-04-11",2.44,2,289
31,"Pullman Art Studio - One Person - Monthly Rental",1019125,"Jb","Pullman",41.68909,-87.6088,"Entire home/apt",39,30,39,"2017-11-10",0.36,2,107
32,"1 Bedroom Apartment -Noble Square",1146738,"Zeyna","West Town",41.89273,-87.65654,"Entire home/apt",99,20,112,"2019-10-15",1.03,1,0
33,"Cozy & comfy with AC close to California Blue Line",1173654,"Jillian","Logan Square",41.92543,-87.69593,"Private room",79,2,20,"2019-10-14",0.2,1,358
34,"Huge Bedroom with pvt marble bath",1185573,"Graz Anton","Uptown",41.96331,-87.66088,"Private room",125,365,5,"2018-06-20",0.05,3,0
35,"BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN",1224828,"Tippi","Irving Park",41.95602,-87.72781,"Private room",55,7,153,"2020-02-16",1.4,2,179
36,"Quiet Bedroom/ARAGON/Train",272671,"Two For The Road","Uptown",41.96797,-87.65791,"Private room",93,2,97,"2020-02-19",0.9,5,363
37,"Close to Michigan Ave and parks",1311953,"Ronald","Near South Side",41.86051,-87.62399,"Entire home/apt",170,180,39,"2018-04-25",0.36,1,358
38,"Studio Apartment Unit 4",1358243,"June","West Ridge",42.00692,-87.68438,"Entire home/apt",48,32,20,"2020-04-01",0.19,1,344
39,"You'll love Chicago! Guaranteed!",858008,"Kassie","Near North Side",41.90314,-87.63494,"Entire home/apt",119,32,62,"2018-11-20",0.6,1,364
40,"Steps From the Best Chicago Offers",1387948,"Dominic","Near West Side",41.88467,-87.64487,"Entire home/apt",204,10,65,"2019-08-11",0.64,1,362
41,"Family Style Home-walk to Aragon/Riviera",272671,"Two For The Road","Uptown",41.96924,-87.65807,"Entire home/apt",764,1,22,"2019-01-06",0.21,5,0
42,"Logan Square Classic Bungalow",1313038,"Mark","Logan Square",41.92716,-87.70471,"Private room",103,2,139,"2019-10-20",1.3,1,264
43,"Downtown 3BR/2BA Loft & Amazing River View",1142145,"Jim","Near West Side",41.88623,-87.6404,"Entire home/apt",156,360,10,"2014-11-08",0.13,1,364
44,"30 Day+ Med student, interns & interim stays.",1376077,"Killian","Edgewater",41.97794,-87.65764,"Private room",26,30,61,"2020-03-20",0.57,1,332
45,"Sunny Home w/ Private Bathroom, Parking, Laundry",1500490,"Hailey","Logan Square",41.92063,-87.68353,"Private room",145,1,84,"2019-10-28",0.84,2,365
46,"15 Minutes to Everything.  Skyline View. Quiet.",1505878,"Bob","Bridgeport",41.82702,-87.63967,"Entire home/apt",130,3,50,"2020-03-17",0.72,2,0
47,"nice room with king size bed",1537881,"Marko","Woodlawn",41.78216,-87.59027,"Private room",47,2,46,"2019-09-28",0.45,1,365
48,"Winter Specials. You'll love this apartment.",1505878,"Bob","Bridgeport",41.82741,-87.63934,"Entire home/apt",146,4,39,"2020-03-15",0.55,2,0
49,"WHOLE PRIVATE FLOOR near Train",259284,"Cheryl","Albany Park",41.96331,-87.70916,"Entire home/apt",85,3,47,"2017-07-17",0.45,1,268
50,"Spacious, Vintage Hyde Park Apt.",1746524,"Patricia","Kenwood",41.8077,-87.59436,"Private room",85,2,232,"2019-10-29",2.24,1,355
51,"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,"Jay & Elisa","Lake View",41.93986,-87.65473,"Entire home/apt",128,3,499,"2020-09-06",4.79,1,313
52,"Lux Urban 3BR/3BA Duplex + Parking!",1876597,"The Adventurers","West Town",41.89862,-87.65597,"Entire home/apt",178,2,215,"2020-08-08",2.25,2,360
53,"Eclectic West Town 2BR w/ Vintage Charm",1844352,"Christine","West Town",41.88913,-87.66763,"Entire home/apt",105,5,189,"2020-08-08",1.89,1,2
54,"Vintage Ukrainian Village Apt!",2217180,"Yuri","West Town",41.90095,-87.68181,"Entire home/apt",175,3,4,"2015-08-15",0.04,1,365
55,"Luxury Space - Come & Relax",2204693,"Dl","Near South Side",41.86614,-87.62275,"Private room",119,3,38,"2018-06-21",0.37,1,263
56,"Large, Private Logan Square Studio",2308792,"Jonathan","Logan Square",41.92451,-87.69385,"Entire home/apt",60,2,629,"2020-09-17",6.39,1,127
57,"Hostel Earphoria",337459,"Earphoria","Avondale",41.93245,-87.71528,"Shared room",25,1,180,"2020-03-08",1.77,2,0
58,"Charming 1906 cottage Northside",2400107,"Allison","Uptown",41.97053,-87.67267,"Entire home/apt",232,3,14,"2018-06-11",0.14,1,0
59,"Spacious Room with plush King Bed, Rogers Park",2453507,"Estelle","Rogers Park",42.00435,-87.67501,"Private room",86,3,36,"2018-08-28",0.45,3,364
60,"Private Lincoln Square Garden Apt",2501182,"Nate","Lincoln Square",41.96714,-87.69611,"Entire home/apt",98,3,287,"2020-09-08",2.87,1,174
61,"Groovy on the Lake  private bd/bth",919011,"Jacqueline","Lake View",41.94286,-87.63919,"Private room",130,1,28,"2015-10-20",0.28,2,365
62,"Logan Square Modern Vintage Garden",2273840,"Sarah","Logan Square",41.93142,-87.69989,"Entire home/apt",132,3,260,"2019-12-29",2.59,1,263
63,"Chicago Lakefront Sailing Yacht",2189245,"Daniel","Near South Side",41.85467,-87.61417,"Entire home/apt",495,2,28,"2015-07-16",0.28,1,365
64,"Home Away From Home",2698691,"Leo","Grand Boulevard",41.82293,-87.61559,"Entire home/apt",89,2,227,"2020-02-09",2.32,1,355
65,"Drop-dead fab on the Lake  2bd/2bth",919011,"Jacqueline","Lake View",41.94284,-87.63919,"Entire home/apt",490,1,35,"2015-09-21",0.35,2,365
66,"Great neighborhood! Price Drop *",2885441,"Tracy","West Town",41.88961,-87.66268,"Private room",57,1,127,"2020-01-20",1.27,6,263
67,"Price Drop! Great Deal, Great area!",2885441,"Tracy","West Town",41.89003,-87.66241,"Private room",78,1,143,"2020-03-08",1.45,6,349
68,"Recent Price Drop, awesome area!",2885441,"Tracy","West Town",41.89054,-87.66261,"Shared room",69,1,66,"2020-02-17",0.66,6,364
69,"Stylish, comfortable room in nice Duplex",3034693,"Daniela","North Center",41.93537,-87.67946,"Private room",43,7,161,"2020-04-30",1.83,1,0
70,"Great for Students! Affordability+Location",2885441,"Tracy","West Town",41.89056,-87.66086,"Private room",63,1,97,"2020-09-01",0.99,6,323
71,"The Stained Glass Apt. Edgewater #1",2915265,"Felice","Edgewater",41.99667,-87.66213,"Private room",66,2,82,"2020-07-31",0.84,2,305
72,"Designer Lakeview Haven. Private Rooftop Oasis!",3200044,"James","Lake View",41.94242,-87.67134,"Entire home/apt",180,4,53,"2020-08-31",1.91,1,119
73,"Large Double Queen Studio Apartment in Wicker Park",81779,"Laura","West Town",41.90567,-87.67311,"Hotel room",160,2,11,"2020-03-08",0.12,11,0
74,"3 Bedroom Apartment in Historic Wicker Park Home",81779,"Laura","West Town",41.90686,-87.67319,"Private room",142,2,40,"2020-08-13",0.49,11,0
75,"Edgebrook Lg bdr by golf course",2824576,"Jeff","Forest Glen",41.99244,-87.75569,"Private room",60,3,66,"2019-10-15",0.71,2,363
76,"Edgebrook bdr by golf course",2824576,"Jeff","Forest Glen",41.99201,-87.75719,"Private room",50,3,66,"2020-02-15",0.77,2,364
77,"Bedrm/Bath - Swanky Northside Condo.",3472696,"Roxane","West Ridge",41.99348,-87.68121,"Private room",50,3,26,"2019-10-16",0.29,1,358
78,"2 BD Condo by downtown,park,lake",3574415,"Marv","Near North Side",41.90302,-87.63499,"Entire home/apt",85,30,150,"2019-12-20",1.72,2,0
79,"Close to Chicago music Fest! (Students discount)",2885441,"Tracy","West Town",41.88999,-87.66096,"Private room",39,1,131,"2020-07-02",1.36,6,263
80,"Spacious Studio, Amazing Location!",2658212,"James","Lake View",41.93932,-87.65218,"Entire home/apt",106,2,625,"2020-08-02",6.49,4,0
81,"Palmer Treehouse - Bedroom 2",62150,"K.Anne","Logan Square",41.92255,-87.70293,"Private room",70,2,73,"2019-10-22",0.76,3,365
82,"Logan Square-Chicago Prime Location-Longer Stays",3804977,"Paul And Nancy","Logan Square",41.92669,-87.699,"Entire home/apt",165,2,134,"2020-03-03",1.39,1,327
83,"Lovely 2 bedroom in Lincoln Square",3867687,"Janet","Lincoln Square",41.97847,-87.68087,"Entire home/apt",75,28,186,"2020-03-12",2.13,1,244
84,"LUXURY LOOP w/Balcony GYM & SPA by Millennium Park",3965428,"Rob","Loop",41.88624,-87.61566,"Entire home/apt",130,31,13,"2015-08-15",0.14,73,365
85,"3 Bedroom Victorian Beauty at Logan Square",3920450,"Vas","Logan Square",41.92997,-87.72061,"Entire home/apt",72,25,19,"2019-04-03",0.21,3,205
86,"Stunning Downtown Artist Loft (West Loop)",2619611,"Andrew","Near West Side",41.88676,-87.64935,"Entire home/apt",150,2,240,"2020-08-30",2.51,2,128
87,"Comfy Room & Bike in Roscoe Village",4009750,"Matt","North Center",41.94994,-87.682,"Private room",78,2,128,"2017-06-04",1.34,2,0
88,"Guest bedroom with private bath",1185573,"Graz Anton","Uptown",41.96193,-87.66238,"Private room",99,365,0,"",NA,3,365
89,"Italian style in elegant apartment",1185573,"Graz Anton","Uptown",41.96046,-87.66346,"Entire home/apt",299,365,16,"2013-08-18",0.17,3,365
90,"Your Own Home, 2-Bath with Laundry and Parking!",1500490,"Hailey","Logan Square",41.92285,-87.68323,"Entire home/apt",204,1,57,"2019-11-02",0.61,2,364
91,"Cozy, Beautiful & Vintage Drenched",2655877,"Bret","West Town",41.90213,-87.67598,"Entire home/apt",95,28,87,"2019-04-03",0.94,1,82
92,"Lincoln Square 2 Bedroom Condo - Welles Park View",4367266,"Christopher","Lincoln Square",41.96238,-87.68378,"Entire home/apt",105,2,59,"2020-08-18",1.87,1,266
93,"Lux 2bd 2bt Lakeview-Wrigleyville",1254363,"Mark","Lake View",41.9443,-87.64661,"Entire home/apt",239,32,15,"2017-03-19",0.17,2,365
94,"Cozy Private Room in a unique Chicago Penthouse",4525503,"Nejla Yatkin And Enki","Lincoln Park",41.9217,-87.65959,"Private room",85,2,98,"2020-03-29",1.12,2,0
95,"Vintage Lincoln Park 2 Bed 1 Block to Fullerton L",101521,"Red","Lincoln Park",41.9263,-87.65567,"Entire home/apt",55,32,36,"2017-05-26",0.4,4,365
96,"Private Entrance/Steam Room Ensuite",4019426,"Colleen","Logan Square",41.92649,-87.7138,"Private room",110,2,145,"2020-03-19",1.64,1,204
97,"Charming apartment in Old Town",5007980,"Lynn","Lincoln Park",41.91316,-87.63813,"Entire home/apt",115,2,311,"2020-09-07",3.42,1,254
98,"Modern Guest Bedroom Room in Designers House",5015135,"Samantha","East Garfield Park",41.88449,-87.69659,"Private room",101,3,23,"2018-11-02",0.26,1,362
99,"Modern Loft-Style Pad in Wicker!",5148353,"Steven","West Town",41.90677,-87.66788,"Private room",50,3,133,"2020-03-02",1.45,1,0
100,"Stay in a Designer Penthouse with Art Gallery",5228189,"Matthew","West Town",41.89505,-87.65449,"Entire home/apt",146,1,274,"2020-09-06",3.08,14,345
101,"Huge Victorian near Loyola, Lake #1",5076708,"Lois And Eduardo","Rogers Park",42.00498,-87.66712,"Private room",79,2,209,"2020-03-15",2.31,4,0
102,"Huge Victorian near Loyola, Lake #2",5076708,"Lois And Eduardo","Rogers Park",42.00623,-87.66794,"Private room",69,2,240,"2020-02-16",2.67,4,264
103,"Huge Victorian near Loyola, Lake #3",5076708,"Lois And Eduardo","Rogers Park",42.00426,-87.66693,"Private room",69,2,233,"2020-02-23",2.57,4,264
104,"Huge Victorian near Loyola 2bd Apt",5076708,"Lois And Eduardo","Rogers Park",42.00381,-87.67082,"Entire home/apt",169,2,176,"2020-02-17",1.98,4,263
105,"Beautiful Condo in Chicago",3843347,"Andrea","Near North Side",41.8943,-87.62609,"Entire home/apt",85,30,30,"2020-04-06",0.33,3,310
106,"Chicago Women's Residence/ Paris Rm",5654677,"Urban Art","North Lawndale",41.85432,-87.70769,"Private room",45,2,6,"2016-07-31",0.09,4,88
107,"Chicago Women's ResidenceFlorenceRm",5654677,"Urban Art","North Lawndale",41.85423,-87.70784,"Private room",45,2,10,"2019-10-24",0.16,4,89
108,"Chicago Women's Residence Midler Rm",5654677,"Urban Art","North Lawndale",41.85455,-87.70768,"Private room",45,2,10,"2020-09-15",0.8,4,0
109,"Charming space in Boystown/Lakeview",5830215,"Albert And Antonio","Lake View",41.94376,-87.65164,"Private room",79,2,320,"2020-03-15",3.53,1,355
110,"Mid-Century mdn twnhs in Lakview",1838943,"Sunnie/Randolph","Lake View",41.93396,-87.64108,"Entire home/apt",130,6,29,"2019-10-18",0.33,2,119
111,"MODERN LOFT Downtown by McCormick w/KING BED WiFi",3965428,"Rob","Near South Side",41.85278,-87.62453,"Entire home/apt",21,30,22,"2020-08-03",0.25,73,218
112,"Studio at the Lake",6023157,"Nataliya","Uptown",41.97271,-87.65236,"Entire home/apt",55,30,46,"2020-07-31",0.51,1,216
113,"Private room in a cozy city condo",6109924,"Nicole","Rogers Park",42.01761,-87.67987,"Private room",43,1,132,"2020-03-15",1.47,1,0
114,"Large modern apartment near CTA",4778146,"Mila","East Garfield Park",41.88282,-87.72026,"Entire home/apt",80,7,0,"",NA,1,0
115,"HUGE West Loop Artist Loft",6264764,"Jeff And Jennifer","Near West Side",41.88387,-87.65107,"Private room",110,3,71,"2017-03-04",0.79,2,362
116,"Lincoln Park Studio, Great Value!",2658212,"James","Lincoln Park",41.92628,-87.64026,"Entire home/apt",99,30,541,"2020-07-29",6.16,4,96
117,"Boystown Studio, Outstanding Value!",2658212,"James","Lake View",41.9395,-87.64483,"Entire home/apt",99,26,504,"2020-07-24",5.67,4,31
118,"3 Bedroom Charming Vintage Hideaway",1664593,"Matt & Christy","Near West Side",41.87086,-87.68305,"Entire home/apt",80,30,314,"2020-03-14",3.53,1,117
119,"Wicker Park - Garden At The Heart of It All",2899484,"Jason","West Town",41.91095,-87.67783,"Entire home/apt",141,4,181,"2020-07-13",2.04,2,353
120,"Chicago 10 Minutes to MAG MILE!",6687262,"Sharon","Lake View",41.93804,-87.64134,"Private room",70,2,9,"2014-05-05",0.1,1,358
121,"Spacious 3BD Home in Ravenswood",6808293,"Jon","Lincoln Square",41.97009,-87.67423,"Entire home/apt",130,1,11,"2019-11-30",0.13,2,82
122,"Jumbo 4br in the Wicker/Ukranian",370619,"Drew","West Town",41.90439,-87.68212,"Entire home/apt",225,7,22,"2018-01-04",0.27,1,346
123,"Private room near UIC Medical Dist.",7089017,"Sharon","Near West Side",41.8719,-87.68486,"Private room",103,1,103,"2019-10-23",1.2,1,365
124,"Lincoln Park Single Family Home",946954,"Jeff","Lincoln Park",41.92913,-87.66921,"Entire home/apt",511,2,77,"2020-08-10",0.91,1,102
125,"Historic Walk-Up; Safe Area & Close to EVERYTHING",7195599,"Kelly","Lincoln Park",41.91355,-87.63675,"Private room",110,1,23,"2019-06-30",0.26,1,89
126,"Logan Square Vintage Deluxe Suite",3069675,"Gabrielle","Logan Square",41.92083,-87.68896,"Private room",85,3,305,"2020-07-06",3.57,1,325
127,"Wrigley Hostel - Queen Bed Room",7391164,"Wrigley Hostel","Lake View",41.9459,-87.65461,"Hotel room",105,1,33,"2020-08-07",0.41,5,365
128,"Private bed & bath w/garage parking",7385510,"Anna","Irving Park",41.95564,-87.71154,"Private room",61,2,125,"2018-11-25",1.44,1,286
129,"Bright open house, garden & deck",7528098,"Eileen","Uptown",41.96952,-87.67239,"Entire home/apt",168,3,24,"2019-09-16",0.28,1,341
130,"Cozy room in Charming Apartment",4509503,"Jessica","West Town",41.91079,-87.68746,"Private room",39,2,85,"2020-09-05",1,1,114
131,"Field Museum Experience at Ellis Place",2465946,"Becky & John","Oakland",41.82781,-87.60523,"Private room",53,1,276,"2020-08-09",3.18,4,363
132,"Trendy Downtown 2 Bedroom",5402236,"Casey","Lincoln Park",41.92989,-87.64103,"Entire home/apt",346,12,14,"2019-05-24",0.18,3,362
133,"Quaint Serenity in Bronzeville",4081052,"Suzetta","Grand Boulevard",41.81266,-87.61586,"Private room",55,2,123,"2020-02-16",1.42,1,364
134,"01b. Twin bed in Shared Foster Cat Room",2907254,"Joe","West Ridge",42.01653,-87.68788,"Shared room",21,1,99,"2020-08-30",1.14,8,153
135,"The Biddle House (#2)",33004,"At Home Inn","Lincoln Park",41.91307,-87.64012,"Entire home/apt",105,4,37,"2020-07-31",0.43,9,307
136,"The Biddle House (WHOLE HOUSE)",33004,"At Home Inn","Lincoln Park",41.91406,-87.63934,"Entire home/apt",401,4,16,"2019-09-02",0.21,9,328
137,"Best Location Millennium Park Extended Stay POOL",3965428,"Rob","Loop",41.88642,-87.61695,"Entire home/apt",60,31,18,"2015-08-16",0.21,73,365
138,"Private room in Chicago",8217410,"Aisha & Antonio","Oakland",41.82936,-87.6048,"Private room",55,3,94,"2019-11-21",1.23,1,294
139,"Charming Home in Chicago",6088938,"Eric","Beverly",41.71348,-87.67195,"Private room",49,2,166,"2020-09-07",1.93,1,364
140,"Spacious & serene in hip spot. Sleeps 4.",8186262,"April","Lower West Side",41.85763,-87.66236,"Private room",58,2,187,"2020-03-29",5.73,2,1
141,"Magic Factory Lofts  - Not your typical Airbnb",2810938,"Carole & Basil","Near North Side",41.90607,-87.6488,"Entire home/apt",212,3,26,"2020-03-16",0.3,2,344
142,"The Historic Florsheim Mansion",8442094,"Russ","Near North Side",41.90697,-87.62941,"Entire home/apt",354,2,54,"2020-05-21",0.66,1,351
143,"Gorgeous Apartment in Bucktown",4908881,"Irena & Martin","Logan Square",41.91638,-87.68422,"Entire home/apt",149,2,293,"2020-03-16",3.41,4,232
144,"Private Northside Chicago Apt Near Beach & Transit",8489460,"Holly + Mark","Rogers Park",42.01114,-87.67634,"Entire home/apt",96,2,99,"2020-09-12",1.16,1,359
145,"Lincoln Park/De Paul area.",8595700,"Carin","Lake View",41.93455,-87.66141,"Private room",64,4,274,"2020-08-27",3.5,1,346
146,"East Pilsen",8463536,"Maximiliano","Lower West Side",41.859,-87.6462,"Entire home/apt",149,2,40,"2020-03-01",0.97,1,77
147,"Private Nook in Leafy Andersonville",8626951,"CC & Tun","Uptown",41.97282,-87.67257,"Private room",70,4,275,"2020-03-14",3.22,1,260
148,"Quiet Rooms2 in Quiet Neighborhood",1426804,"Afri","Chatham",41.72836,-87.6136,"Private room",32,2,84,"2020-03-14",0.98,1,264
149,"Park Views-Walk to Orange Line(MDW)",8781008,"Jenny","Mckinley Park",41.82516,-87.67456,"Entire home/apt",80,1,277,"2020-08-22",3.34,1,0
150,"iKlektik House // Cardinal",8813383,"Mindy + Tony","West Town",41.89322,-87.68572,"Entire home/apt",92,2,320,"2020-09-09",3.93,4,159
151,"Cozy 2BR Apt - Humboldt Park",531832,"Evan","West Town",41.89665,-87.69719,"Entire home/apt",76,44,111,"2020-06-21",1.91,1,271
152,"Victorian greystone near Loyola U!",2707385,"Caitlin & Lisa","Rogers Park",41.99892,-87.67322,"Entire home/apt",120,3,230,"2020-09-06",2.71,1,277
153,"Room in Penthouse in Lakeview",8852597,"Hector","Lake View",41.93465,-87.65754,"Private room",75,2,28,"2019-10-01",0.33,3,89
154,"*Recent Price Drop! Superb location!",2885441,"Tracy","West Town",41.89003,-87.66254,"Private room",71,1,96,"2020-08-03",1.14,6,263
155,"LUX Condo Downtown BEST LOCATION ON MAG MILE AVE",3965428,"Rob","Near North Side",41.89232,-87.62369,"Entire home/apt",153,32,7,"2014-09-08",0.08,73,365
156,"Spacious Stylish One Bedroom Apt In HydePark",9192868,"Rebecca","Hyde Park",41.79984,-87.59465,"Entire home/apt",69,2,338,"2020-05-25",4.01,1,124
157,"Lake View 2BR/2Bath w/ Pool, Gym. Annual lease.",9233414,"Ravi","Lake View",41.94036,-87.64068,"Entire home/apt",155,365,0,"",NA,1,363
158,"Casa Corazón (W) near Rush / UIC",1559157,"Amanda","Lower West Side",41.84801,-87.68127,"Private room",70,2,120,"2020-03-31",1.42,3,355
159,"South Loop Cozy 2BdRm parking&WiFi&NetFlix",9339313,"Leon","Lower West Side",41.85675,-87.65501,"Entire home/apt",59,1,480,"2020-06-16",6.24,11,0
160,"LARGE Private 1BR/Full Bath near U of Chicago",9483312,"Ryan","Woodlawn",41.77892,-87.59886,"Private room",59,5,330,"2020-08-06",4.11,1,88
161,"Musician's Quarters",9601147,"Chester","Hyde Park",41.79963,-87.59477,"Entire home/apt",115,3,46,"2020-09-07",0.56,1,360
162,"BIG LOFT Location RIVER WEST Brick",3965428,"Rob","Near West Side",41.88575,-87.65052,"Entire home/apt",140,60,0,"",NA,73,365
163,"Elegant Lakefront Near Wrigley Field Lake Michigan",9471604,"James","Lincoln Park",41.93283,-87.64315,"Entire home/apt",182,1,152,"2020-04-12",1.86,1,365
164,"Delightful Bedroom in vintage home,  Rogers Park",2453507,"Estelle","Rogers Park",42.004,-87.67503,"Private room",81,3,27,"2017-09-03",0.35,3,364
165,"Luxury Home South Loop",4547638,"Rochelle","Loop",41.86991,-87.62856,"Entire home/apt",229,3,23,"2018-06-04",0.28,1,0
166,"The Hideout",9959757,"Jedidiah","Avondale",41.94663,-87.70783,"Entire home/apt",49,2,242,"2020-09-01",3.55,4,278
167,"High Floor South Loop GYM POOL",3965428,"Rob","Near South Side",41.85453,-87.62052,"Entire home/apt",200,60,14,"2016-10-15",0.18,73,365
168,"Lincoln Park/DePaul  - Private room & bathroom",3217364,"Mary Kay","Lincoln Park",41.93101,-87.65878,"Private room",107,1,183,"2020-09-06",2.36,1,354
169,"Admire Colorful Art at an Eclectic Wrigleyville Home",10129776,"Teri","Lake View",41.94432,-87.65988,"Entire home/apt",349,1,12,"2020-04-05",0.45,6,337
170,"Nowhere Will You Feel More at Home",10129776,"Teri","Lake View",41.94993,-87.66173,"Entire home/apt",249,3,31,"2020-08-10",0.74,6,296
171,"Wrigleyville Gem-Eclectic Artsy Style You'll Love!",10129776,"Teri","Lake View",41.94943,-87.66129,"Entire home/apt",349,2,36,"2020-08-23",0.69,6,282
172,"Bucktown - Great Northside Location",5166793,"Carrie & Brad","Logan Square",41.92118,-87.68678,"Private room",75,1,198,"2020-03-15",2.4,2,89
173,"Great space in hip neighborhood!",7245979,"Jason","West Town",41.89278,-87.66131,"Private room",36,3,188,"2020-03-18",2.47,1,136
174,"1BR, Downtown, 1 block to Michigan",4154580,"Tiffani","Near North Side",41.89975,-87.62785,"Entire home/apt",150,5,34,"2018-09-07",0.43,1,70
